Date,Party,Total,Narration,Is_Fraud,is_round,is_q_end,v_count,kw_flag
2024-12-12,Wable PLC,68380.4,Payment for Stationery Purchase - Inv #865,0,0,1,1,0
2025-08-10,Iyer-Sem,15000.0,Payment for Stationery Purchase - Inv #603,0,1,0,1,0
2025-01-10,Bora Ltd,10000.0,Payment for Monthly Office Rent - Inv #157,0,1,0,1,0
2024-07-13,"Gour, Gill and Viswanathan",32753.07,Payment for Internet Charges - Inv #401,0,0,0,1,0
2025-01-06,"Raj, Pall and Dasgupta",43277.18,Payment for Stationery Purchase - Inv #320,0,0,0,1,0
2025-04-26,Halder PLC,30301.02,Payment for Internet Charges - Inv #258,0,0,0,1,0
2024-03-06,Dhawan-Kade,5000.0,Payment for Professional Charges - Inv #634,0,1,1,1,0
2025-03-29,Mane-Hari,6910.36,Payment for Stationery Purchase - Inv #551,0,0,1,1,0
2025-09-09,"Rajagopalan, Divan and Shenoy",56404.07,Payment for Stationery Purchase - Inv #999,0,0,1,1,0
2025-03-15,Narula and Sons,40175.21,Payment for Electricity Bill Payment - Inv #808,0,0,1,1,0
2025-09-02,"Dass, Rout and Thakur",15000.0,Payment for Staff Salary - Inv #269,0,1,1,1,0
2024-10-18,Viswanathan and Sons,74190.81,Petty cash reimbursement,0,0,0,1,1
2025-10-23,"Sachdeva, Jhaveri and Madan",5000.0,Petty cash reimbursement,0,1,0,1,1
2025-11-25,"Manne, Raman and Kale",5000.0,Payment for Monthly Office Rent - Inv #418,0,1,0,1,0
2024-08-09,Sampath-Chada,2496.89,Payment for Stationery Purchase - Inv #827,0,0,0,1,0
2025-03-27,Chhabra LLC,31129.66,Payment for Electricity Bill Payment - Inv #849,0,0,1,1,0
2025-06-26,Sha-Mohanty,29127.66,Payment for Monthly Office Rent - Inv #438,1,0,1,1,0
2025-12-05,Ahuja-Mall,5000.0,Payment for Stationery Purchase - Inv #137,0,1,1,1,0
2026-01-11,Ram PLC,50000.0,Payment for Electricity Bill Payment - Inv #299,0,1,0,1,0
2025-07-04,Tella and Sons,5974.31,Payment for Staff Salary - Inv #538,0,0,0,1,0
2025-12-06,Sarraf Group,63104.42,Payment for Monthly Office Rent - Inv #645,0,0,1,1,0
2024-09-19,"Mittal, Badal and Mander",27002.0,Payment for Staff Salary - Inv #259,0,0,1,1,0
2025-03-13,"Rau, Nigam and Raj",66106.56,Payment for Internet Charges - Inv #524,0,0,1,1,0
2025-10-25,Basu LLC,77610.82,Payment for Staff Salary - Inv #596,0,0,0,1,0
2025-02-18,"Mangat, Ranganathan and Mital",69186.41,Payment for Stationery Purchase - Inv #773,0,0,0,1,0
2025-03-30,"Chhabra, Viswanathan and Sunder",16406.36,Payment for Electricity Bill Payment - Inv #475,0,0,1,1,0
2024-08-28,"Pall, Khare and Mittal",11215.99,Payment for Internet Charges - Inv #194,0,0,0,1,0
2024-04-27,Mutti Ltd,15000.0,Payment for cash expense,1,1,0,1,1
2024-07-31,Chaudhuri PLC,40835.47,Payment for Stationery Purchase - Inv #103,0,0,0,1,0
2025-06-25,"Desai, Chander and Subramaniam",46061.39,Payment for Electricity Bill Payment - Inv #373,0,0,1,1,0
2025-03-25,"Gopal, Purohit and Suresh",11583.8,Payment for Professional Charges - Inv #453,0,0,1,1,0
2024-06-12,Swamy LLC,5985.95,Payment for Staff Salary - Inv #622,0,0,1,1,0
2025-07-10,Mani-Golla,5237.1,Payment for Professional Charges - Inv #203,0,0,0,1,0
2025-03-09,Mutti-Seshadri,15000.0,Payment for Internet Charges - Inv #443,0,1,1,1,0
2024-12-25,Varma PLC,71203.25,Payment for Professional Charges - Inv #805,0,0,1,1,0
2024-05-14,"Lala, Balay and Pingle",69117.2,Payment for Professional Charges - Inv #309,0,0,0,1,0
2024-12-10,Chaudhry-Srinivas,8969.04,Payment for Monthly Office Rent - Inv #850,0,0,1,1,0
2024-04-01,Konda and Sons,3389.26,Payment for Professional Charges - Inv #113,0,0,0,1,0
2025-03-20,Thakkar Group,70315.48,Payment for Electricity Bill Payment - Inv #987,0,0,1,1,0
2025-11-22,"Sami, Goel and Arora",5000.0,Payment for Professional Charges - Inv #741,0,1,0,1,0
2025-06-12,Kar PLC,10000.0,Payment for Internet Charges - Inv #994,0,1,1,1,0
2024-05-18,Mannan-Jha,10000.0,Payment for Stationery Purchase - Inv #210,0,1,0,1,0
2025-08-03,"Konda, Kibe and Gulati",26140.62,Payment for Electricity Bill Payment - Inv #670,0,0,0,1,0
2024-04-08,Dhar-Basu,68127.11,Payment for Staff Salary - Inv #429,0,0,0,1,0
2025-01-08,"Sahota, Sidhu and Gade",60103.23,Petty cash reimbursement,0,0,0,1,1
2025-07-04,"Randhawa, Chaudhry and Dugar",15000.0,Petty cash reimbursement,0,1,0,1,1
2024-08-01,Sridhar-Sengupta,38083.67,Payment for Internet Charges - Inv #724,0,0,0,1,0
2026-01-28,Doctor-Pingle,74438.65,Payment for Monthly Office Rent - Inv #546,0,0,0,1,0
2024-10-17,Koshy-Kapur,59965.04,Payment for Monthly Office Rent - Inv #317,0,0,0,1,0
2025-12-14,Pingle-Mangat,25000.0,Payment for Internet Charges - Inv #192,0,1,1,1,0
2025-02-25,Ravel-Contractor,15000.0,Payment for Staff Salary - Inv #959,0,1,0,1,0
2025-02-08,Narain Ltd,72995.66,Payment for Monthly Office Rent - Inv #471,0,0,0,1,0
2025-02-01,"Aggarwal, Rajagopalan and Nanda",5000.0,Payment for Electricity Bill Payment - Inv #320,0,1,0,1,0
2025-08-11,Bose Group,13390.12,Payment for split expense,1,0,0,1,1
2025-09-24,Bhavsar LLC,35434.72,Payment for Stationery Purchase - Inv #348,0,0,1,1,0
2026-02-11,Rajagopal-Karan,13079.95,Payment for Internet Charges - Inv #811,0,0,0,1,0
2025-02-05,Bansal and Sons,50000.0,Payment for Electricity Bill Payment - Inv #204,0,1,0,1,0
2024-09-21,Pillai LLC,65191.48,Payment for Electricity Bill Payment - Inv #973,0,0,1,1,0
2024-05-26,Kulkarni-Kamdar,46284.51,Payment for Professional Charges - Inv #693,0,0,0,1,0
2024-07-24,"Sibal, Setty and Singhal",50000.0,Payment for Professional Charges - Inv #875,1,1,0,1,0
2024-10-16,Goel-Barad,55029.91,Payment for Stationery Purchase - Inv #460,0,0,0,1,0
2024-11-16,Bhatt and Sons,14101.88,Payment for Stationery Purchase - Inv #107,0,0,0,1,0
2026-01-06,Bawa-Parekh,44904.22,Payment for Electricity Bill Payment - Inv #994,0,0,0,1,0
2025-05-20,Wagle and Sons,78042.31,Payment for Professional Charges - Inv #610,0,0,0,1,0
2026-02-16,Sarkar-Borra,68754.9,Payment for Electricity Bill Payment - Inv #133,0,0,0,1,0
2024-07-13,Sunder-Garg,1442.49,Payment for Monthly Office Rent - Inv #634,0,0,0,1,0
2025-10-29,"Srinivas, Deshmukh and Setty",41529.91,Payment for Stationery Purchase - Inv #429,0,0,0,1,0
2024-07-22,"Divan, Arora and Kannan",15000.0,Payment for Monthly Office Rent - Inv #907,0,1,0,1,0
2025-02-23,"Mannan, Mander and Manda",16616.94,Payment for Staff Salary - Inv #841,0,0,0,1,0
2024-12-12,Naidu-Ranganathan,12708.91,Payment for Stationery Purchase - Inv #604,0,0,1,1,0
2024-04-20,Natt and Sons,5000.0,Payment for Staff Salary - Inv #633,0,1,0,1,0
2026-02-14,Ben Inc,13326.3,Petty cash reimbursement,0,0,0,1,1
2024-04-02,Gaba Group,12551.57,Payment for Monthly Office Rent - Inv #348,0,0,0,1,0
2025-07-04,"Tailor, Mohan and Patil",41407.18,Payment for Internet Charges - Inv #668,0,0,0,1,0
2025-06-19,"Chandra, Handa and Rout",3218.74,Payment for Staff Salary - Inv #425,0,0,1,1,0
2025-02-13,"Ratta, Chaudhary and Chaudhary",10000.0,Payment for Internet Charges - Inv #421,0,1,0,1,0
2025-02-23,Sankaran-Prabhakar,100000.0,Monthly Office Rent,1,1,0,1,0
2024-11-04,Ramakrishnan PLC,45333.96,Payment for Monthly Office Rent - Inv #672,0,0,0,1,0
2024-06-16,Bains-Loke,18140.16,Payment for Monthly Office Rent - Inv #519,0,0,1,1,0
2025-12-11,"Patla, Dewan and Sangha",70022.84,Payment for Staff Salary - Inv #516,0,0,1,1,0
2024-11-08,Sekhon Inc,61436.32,Payment for Monthly Office Rent - Inv #281,0,0,0,1,0
2024-10-27,Shah Group,45415.1,Payment for Monthly Office Rent - Inv #795,0,0,0,1,0
2025-12-15,Rastogi-Chana,2004.98,Payment for Internet Charges - Inv #985,0,0,1,1,0
2025-10-13,"Wason, Dayal and Rege",21197.81,Payment for Professional Charges - Inv #404,0,0,0,1,0
2025-12-27,Grewal and Sons,8507.66,Payment for Staff Salary - Inv #278,0,0,1,1,0
2024-09-08,"Uppal, Chakraborty and Sarna",79534.98,Payment for Staff Salary - Inv #631,1,0,1,1,0
2026-02-09,Mangal-Oza,5000.0,Payment for Stationery Purchase - Inv #221,0,1,0,1,0
2024-06-15,Kothari LLC,56095.33,Payment for Internet Charges - Inv #626,1,0,1,1,0
2026-02-17,Arora and Sons,62009.65,Payment for Staff Salary - Inv #371,0,0,0,1,0
2025-01-14,Sha Group,30702.71,Payment for Monthly Office Rent - Inv #665,0,0,0,1,0
2025-01-23,Thakkar Inc,19859.54,Payment for Electricity Bill Payment - Inv #589,0,0,0,1,0
2025-12-18,Sarkar-Comar,36257.13,Payment for Monthly Office Rent - Inv #296,0,0,1,1,0
2025-06-22,Hayre-Sarma,5653.36,Petty cash reimbursement,0,0,1,1,1
2024-03-25,Bakshi-Subramanian,10000.0,Payment for Monthly Office Rent - Inv #151,1,1,1,1,0
2025-09-11,"Bir, Vora and Mahal",10000.0,Payment for Monthly Office Rent - Inv #616,0,1,1,1,0
2025-06-23,Bedi PLC,1092.15,Petty cash reimbursement,0,0,1,1,1
2025-10-21,"Madan, Tella and Tank",56181.38,Payment for Internet Charges - Inv #186,0,0,0,1,0
2024-03-12,Pai-Thaker,50000.0,Payment for Staff Salary - Inv #208,0,1,1,1,0
2024-10-27,Krish-Grewal,25000.0,Staff Salary,1,1,0,1,0
2025-07-11,"Sami, Nori and Sanghvi",9358.39,Payment for Monthly Office Rent - Inv #614,0,0,0,1,0
2025-07-23,Dixit-Jain,76653.57,Petty cash reimbursement,0,0,0,1,1
2025-10-23,Nagar PLC,22852.1,Payment for Stationery Purchase - Inv #240,0,0,0,1,0
2024-10-19,"Sanghvi, Misra and Kala",5000.0,Payment for Staff Salary - Inv #323,0,1,0,1,0
2024-12-22,Vig and Sons,10000.0,Payment for Monthly Office Rent - Inv #515,0,1,1,1,0
2025-03-06,Dash-Batra,5000.0,Payment for Staff Salary - Inv #806,0,1,1,1,0
2025-10-22,"Amble, Kata and Naik",20149.48,Petty cash reimbursement,0,0,0,1,1
2024-12-20,"Boase, Varghese and Devi",70367.66,Petty cash reimbursement,0,0,1,1,1
2025-04-12,Mangat-Mohanty,34410.46,Payment for Internet Charges - Inv #329,0,0,0,1,0
2024-09-04,Narula Group,49157.71,Payment for Staff Salary - Inv #921,0,0,1,1,0
2025-12-20,Karan-Koshy,78487.16,Payment for Stationery Purchase - Inv #263,0,0,1,1,0
2025-05-20,"Sastry, Dey and Trivedi",15000.0,Payment for Professional Charges - Inv #435,0,1,0,1,0
2026-01-23,"Bala, Grewal and Raval",62713.25,Petty cash reimbursement,0,0,0,1,1
2025-01-22,Borra LLC,5462.88,Payment for Electricity Bill Payment - Inv #456,0,0,0,1,0
2025-02-11,"Bala, Prasad and Varma",40749.09,Payment for Stationery Purchase - Inv #430,0,0,0,1,0
2025-03-05,"Din, Rattan and Shanker",10000.0,Payment for Professional Charges - Inv #861,0,1,1,1,0
2024-04-29,Raju-Bora,50000.0,Payment for cash expense,1,1,0,1,1
2024-03-26,Kapoor Inc,42063.9,Payment for Staff Salary - Inv #776,0,0,1,1,0
2025-08-05,Chandran PLC,50666.12,Payment for Staff Salary - Inv #556,0,0,0,1,0
2025-01-17,"Goel, Dixit and Dayal",9496.37,Payment for Internet Charges - Inv #592,0,0,0,1,0
2025-06-11,Chakraborty LLC,5094.25,Payment for Electricity Bill Payment - Inv #420,0,0,1,1,0
2024-11-06,Biswas Inc,68653.49,Payment for Stationery Purchase - Inv #575,0,0,0,1,0
2024-12-18,"Kata, Nazareth and Mand",39826.12,Payment for Monthly Office Rent - Inv #353,0,0,1,1,0
2024-03-27,Chaudhry-Bumb,40262.2,Payment for Electricity Bill Payment - Inv #830,0,0,1,1,0
2025-03-19,Hans LLC,57303.84,Payment for Professional Charges - Inv #136,0,0,1,1,0
2026-02-15,Patel-Char,56919.54,Payment for Internet Charges - Inv #754,0,0,0,1,0
2025-05-19,"Khare, Dua and Mangat",55024.75,Payment for Professional Charges - Inv #279,0,0,0,1,0
2025-07-06,"Sahota, Prabhu and Agarwal",35245.87,Payment for Staff Salary - Inv #181,0,0,0,1,0
2025-09-02,Sharaf PLC,30233.24,Payment for Electricity Bill Payment - Inv #487,0,0,1,1,0
2024-10-21,Pandit-Sarma,10000.0,Payment for Stationery Purchase - Inv #460,0,1,0,1,0
2026-01-13,Master-Desai,5000.0,Payment for Staff Salary - Inv #123,0,1,0,1,0
2025-02-17,Chaudhary-Kamdar,59432.04,Payment for Electricity Bill Payment - Inv #441,0,0,0,1,0
2024-07-05,Natt Inc,10000.0,Payment for Staff Salary - Inv #816,0,1,0,1,0
2025-10-24,"Sethi, D’Alia and Chana",41678.72,Payment for Internet Charges - Inv #255,0,0,0,1,0
2026-01-08,Banerjee-Setty,63860.95,Payment for Electricity Bill Payment - Inv #367,0,0,0,1,0
2025-04-25,Yadav PLC,13901.92,Payment for Professional Charges - Inv #486,0,0,0,1,0
2024-05-07,Rege and Sons,5000.0,Payment for Professional Charges - Inv #490,1,1,0,1,0
2024-12-04,"Minhas, Gandhi and Patla",36001.42,Payment for Professional Charges - Inv #770,0,0,1,1,0
2024-12-03,Walia-Sinha,53499.34,Payment for Electricity Bill Payment - Inv #199,0,0,1,1,0
2025-02-28,"Kapur, Shah and Bera",25000.0,Stationery Purchase,1,1,0,1,0
2025-11-25,Goda-Chaudhuri,11439.09,Petty cash reimbursement,0,0,0,1,1
2024-03-10,Bhatt-Kakar,29304.67,Payment for Staff Salary - Inv #998,0,0,1,1,0
2025-10-16,Kala LLC,16403.74,Payment for Internet Charges - Inv #810,0,0,0,1,0
2025-10-27,Mallick-Chakraborty,76669.27,Payment for Monthly Office Rent - Inv #277,1,0,0,1,0
2025-12-10,Bhatia-Lalla,100000.0,Internet Charges,1,1,1,1,0
2026-01-04,Gulati-Srinivas,25000.0,Payment for Monthly Office Rent - Inv #881,0,1,0,1,0
2025-01-22,"Kanda, Mitter and Sankar",30981.62,Payment for Monthly Office Rent - Inv #510,0,0,0,1,0
2025-03-19,Banerjee-Padmanabhan,37071.81,Payment for Internet Charges - Inv #377,0,0,1,1,0
2025-07-18,Bakshi-Gandhi,15000.0,Payment for Electricity Bill Payment - Inv #387,0,1,0,1,0
2026-01-23,"Lala, Baria and Chadha",58083.52,Payment for Staff Salary - Inv #854,1,0,0,1,0
2025-10-10,"Dada, Deep and Bhatti",41178.53,Payment for Monthly Office Rent - Inv #429,0,0,0,1,0
2025-05-16,"Luthra, Bala and Karnik",50000.0,Payment for Electricity Bill Payment - Inv #848,0,1,0,1,0
2024-03-19,Sachdeva-Keer,29521.53,Payment for Stationery Purchase - Inv #319,0,0,1,1,0
2025-09-13,Rama-Gupta,78275.84,Payment for Professional Charges - Inv #879,0,0,1,1,0
2025-04-26,Kibe LLC,72986.7,Payment for urgent expense,1,0,0,1,1
2025-04-25,"Babu, Dube and Chaudhry",30060.86,Payment for Staff Salary - Inv #767,0,0,0,1,0
2024-05-19,"Patla, Singh and Deol",50910.46,Payment for Electricity Bill Payment - Inv #881,0,0,0,1,0
2024-03-07,Buch-Dugal,50000.0,Payment for Staff Salary - Inv #833,0,1,1,1,0
2025-08-30,Luthra-Narayanan,50000.0,Payment for Internet Charges - Inv #153,0,1,0,1,0
2024-04-19,Vala and Sons,52998.37,Payment for Internet Charges - Inv #951,0,0,0,1,0
2024-04-06,Kaul-Jaggi,74084.63,Payment for Electricity Bill Payment - Inv #933,0,0,0,1,0
2024-03-21,Reddy and Sons,25954.73,Payment for Staff Salary - Inv #176,0,0,1,1,0
2025-05-04,"Shankar, Borde and Koshy",50000.0,Payment for Monthly Office Rent - Inv #241,0,1,0,1,0
2024-10-12,Bal-Bir,11381.76,Payment for Electricity Bill Payment - Inv #986,0,0,0,1,0
2024-09-27,Yadav PLC,10000.0,Payment for Professional Charges - Inv #888,0,1,1,1,0
2025-01-11,Edwin Ltd,70493.61,Payment for Internet Charges - Inv #441,0,0,0,1,0
2024-04-25,Chada-Golla,68849.09,Payment for Internet Charges - Inv #148,0,0,0,1,0
2024-12-31,Tailor Inc,28206.04,Payment for Professional Charges - Inv #713,0,0,1,1,0
2024-07-02,Ravel-Sant,25000.0,Payment for Professional Charges - Inv #567,0,1,0,1,0
2025-08-03,"Rastogi, Doshi and Viswanathan",9177.8,Payment for Electricity Bill Payment - Inv #165,0,0,0,1,0
2024-06-02,Suri PLC,50000.0,Payment for Stationery Purchase - Inv #146,0,1,1,1,0
2024-04-06,Ram-Dubey,25000.0,Electricity Bill Payment,1,1,0,1,0
2025-10-27,Chaudhry Group,34728.86,Payment for Staff Salary - Inv #201,0,0,0,1,0
2024-07-23,"Mittal, Prakash and Madan",5395.55,Payment for Staff Salary - Inv #537,0,0,0,1,0
2025-08-16,"Pradhan, Kumar and Kakar",10000.0,Petty cash reimbursement,0,1,0,1,1
2024-10-29,Nigam-Khatri,24487.25,Payment for Monthly Office Rent - Inv #851,0,0,0,1,0
2024-12-17,Kalla Inc,47364.87,Payment for Stationery Purchase - Inv #702,0,0,1,1,0
2025-08-22,Vasa Inc,11499.48,Petty cash reimbursement,0,0,0,1,1
2024-06-14,Gola-Raj,50000.0,Payment for Electricity Bill Payment - Inv #273,0,1,1,1,0
2024-07-15,Pau-Sridhar,5000.0,Payment for Stationery Purchase - Inv #452,0,1,0,1,0
2026-02-22,Sengupta-Bhandari,72893.07,Payment for Electricity Bill Payment - Inv #443,0,0,0,1,0
2024-07-22,Upadhyay-Kumar,73673.89,Payment for Monthly Office Rent - Inv #646,0,0,0,1,0
2025-09-29,"Palan, Iyengar and Bhatti",34575.7,Payment for Electricity Bill Payment - Inv #228,0,0,1,1,0
2024-05-24,"Bobal, Pandit and Babu",50925.59,Payment for Electricity Bill Payment - Inv #521,0,0,0,1,0
2026-02-13,"Mann, Sem and Deol",57445.48,Payment for Monthly Office Rent - Inv #917,0,0,0,1,0
2025-11-04,Brahmbhatt-Rao,72423.53,Petty cash reimbursement,0,0,0,1,1
2025-01-14,Acharya-Bains,15000.0,Payment for Electricity Bill Payment - Inv #167,0,1,0,1,0
2024-03-06,Lanka-Thakkar,58549.36,Payment for Staff Salary - Inv #193,0,0,1,1,0
2025-01-13,Modi-Bhasin,50000.0,Payment for Internet Charges - Inv #249,0,1,0,1,0
2024-03-14,Oak Inc,34387.64,Payment for Electricity Bill Payment - Inv #124,0,0,1,1,0
2026-02-13,"Dalal, Agarwal and Dewan",15000.0,Payment for Electricity Bill Payment - Inv #861,0,1,0,1,0
2026-01-22,Grewal and Sons,70913.69,Payment for Electricity Bill Payment - Inv #270,0,0,0,1,0
2026-02-21,Swamy-Anne,10000.0,Professional Charges,1,1,0,1,0
2025-10-11,"Bandi, Sami and Madan",10000.0,Payment for Stationery Purchase - Inv #899,0,1,0,1,0
2025-10-20,Pillay-Bhasin,50610.87,Payment for Monthly Office Rent - Inv #156,0,0,0,1,0
2026-01-04,Ganesh-Handa,27767.83,Payment for personal expense,1,0,0,1,1
2025-10-13,"Prakash, Badal and Rout",10000.0,Internet Charges,1,1,0,1,0
2024-11-19,Buch-Parekh,77508.67,Payment for Internet Charges - Inv #144,1,0,0,1,0
2024-06-08,"Dayal, Varty and Ramakrishnan",39922.38,Payment for Professional Charges - Inv #329,0,0,1,1,0
2025-09-03,"Rattan, Thaker and Gala",31951.99,Payment for Monthly Office Rent - Inv #409,0,0,1,1,0
2025-05-20,"Barad, Ram and Kuruvilla",76492.38,Payment for Staff Salary - Inv #781,0,0,0,1,0
2025-12-08,"Buch, Anne and Toor",13106.28,Payment for Stationery Purchase - Inv #135,0,0,1,1,0
2024-10-29,Panchal LLC,26544.13,Payment for Professional Charges - Inv #920,0,0,0,1,0
2024-05-20,Dasgupta-Soni,40124.34,Payment for Monthly Office Rent - Inv #972,0,0,0,1,0
2025-05-14,Krishnan-Padmanabhan,68226.86,Payment for Monthly Office Rent - Inv #199,0,0,0,1,0
2025-04-22,Ramaswamy-Vyas,15000.0,Payment for Monthly Office Rent - Inv #934,0,1,0,1,0
2026-01-17,Pall-Sura,7477.08,Payment for Electricity Bill Payment - Inv #126,0,0,0,1,0
2025-04-12,"Yadav, Purohit and Bhatia",10000.0,Payment for Electricity Bill Payment - Inv #206,0,1,0,1,0
2025-03-16,"Cheema, Cheema and Chander",37532.43,Payment for Internet Charges - Inv #657,0,0,1,1,0
